,month2,q_sbd,Price_SMEB_Dish_soap,Price_SMEB_Ghee,Price_SMEB_Laundry_soap,Price_SMEB_Sanitary_pads,Price_SMEB_Soap_Bar,Price_SMEB_Toothpaste,Price_SMEB_Vegetable_oil,Price_SMEB_bread,Price_SMEB_bulgur,Price_SMEB_chicken,Price_SMEB_cookingfuels,Price_SMEB_eggs,Price_SMEB_food_vegetables,Price_SMEB_gbdata,Price_SMEB_lentils,Price_SMEB_rice,Price_SMEB_salt,Price_SMEB_sugar,Price_SMEB_tomato_paste,Price_SMEB_water
0,2016-11,SY020001,575.0,2216.67,750.0,900.0,800.0,306.67,1910.42,6228.33,2087.5,5300.0,8125.0,8450.0,2595.0,733.33,5587.5,5700.0,116.67,2208.33,3413.0,2025.0
1,2016-11,SY020003,150.0,1925.0,824.75,1000.0,540.0,800.0,1925.0,6142.0,4250.0,5500.0,7500.0,5500.0,1475.0,500.0,4250.0,6175.0,100.0,1625.0,4400.0,2250.0
2,2016-11,SY020004,750.0,2100.0,987.75,1000.0,2160.0,500.0,1925.0,4625.0,3000.0,3000.0,8125.0,6600.0,1950.0,416.67,6750.0,4750.0,130.0,2150.0,2700.0,2565.0
3,2016-11,SY020005,243.75,1750.0,762.5,600.0,600.0,338.0,1808.33,7400.0,3750.0,4500.0,7500.0,5100.0,1740.0,316.67,4500.0,6016.67,100.0,1625.0,3100.0,1635.0
4,2016-11,SY020200,150.0,1750.0,698.0,766.67,530.0,800.0,1575.0,5920.0,3000.0,4300.0,7500.0,6600.0,2275.0,600.0,3750.0,5700.0,150.0,1116.67,2800.0,3375.0
5,2016-11,SY020203,281.25,1925.0,375.0,1016.67,1100.0,375.0,1516.67,3700.0,3125.0,3400.0,6500.0,6600.0,2255.0,700.0,4375.0,5700.0,136.67,1191.67,2900.0,1665.0
6,2016-11,SY020300,225.0,2625.0,1025.0,966.67,650.0,307.0,1866.67,4329.0,4000.0,4600.0,6666.67,5800.0,2540.0,433.33,5000.0,6966.67,100.0,1208.33,3200.0,4245.0
7,2016-11,SY020301,442.5,2100.0,1087.5,830.0,570.0,832.0,1925.0,5920.0,3150.0,4500.0,7000.0,4200.0,1582.5,325.0,3225.0,3990.0,50.0,1400.0,6000.0,2340.0
8,2016-11,SY020302,487.5,2012.5,600.0,838.0,1050.0,425.0,1662.5,5920.0,3000.0,4800.0,7500.0,5100.0,2400.0,200.0,4500.0,6650.0,200.0,1425.0,4275.0,4095.0
9,2016-11,SY020303,337.5,2450.0,431.25,1000.0,504.0,384.0,2450.0,6660.0,5250.0,4500.0,6937.5,5400.0,2175.0,1100.0,7500.0,6650.0,80.0,1500.0,4200.0,5625.0
10,2016-11,SY020304,387.5,2333.33,607.75,850.0,1350.0,471.0,1502.08,6166.67,4625.0,2750.0,6750.0,6800.0,2732.5,541.67,2375.0,3325.0,87.0,1395.83,5400.0,4050.0
11,2016-11,SY020305,525.0,2741.67,1050.0,866.67,1200.0,1000.0,2100.0,5550.0,3750.0,3600.0,7083.33,6400.0,2850.0,366.67,5250.0,7600.0,166.67,1125.0,6000.0,3375.0
12,2016-11,SY020306,250.0,2115.17,791.67,900.0,1100.0,933.33,1925.0,6721.67,3250.0,4200.0,7083.33,5700.0,3040.0,633.33,5500.0,7600.0,76.67,1166.67,3500.0,3150.0
13,2016-11,SY020400,150.0,2508.33,887.5,733.33,2580.0,310.67,2100.0,5550.0,2887.5,5450.0,6833.33,8100.0,3330.0,1833.33,7300.0,9056.67,183.33,2125.0,4450.0,2835.0
14,2016-11,SY020401,168.75,2100.0,1312.5,500.0,1500.0,200.0,1925.0,5550.0,3750.0,4800.0,7500.0,4200.0,1485.0,1024.0,4500.0,3800.0,200.0,1500.0,3000.0,2970.0
15,2016-11,SY020403,562.5,3500.0,937.5,1000.0,600.0,1200.0,1750.0,5920.0,3375.0,4350.0,7250.0,4500.0,2212.5,500.0,4125.0,6650.0,100.0,1250.0,4800.0,2025.0
16,2016-11,SY020405,162.5,2181.67,868.75,766.67,2480.0,286.0,2067.92,4995.0,2750.0,5550.0,6125.0,7930.0,3397.5,933.33,6262.5,7679.17,136.67,2091.67,3575.0,2730.0
17,2016-11,SY020501,825.0,2450.0,1145.25,800.0,1800.0,754.5,1793.75,5920.0,4125.0,4500.0,2812.5,5625.0,1762.5,2750.0,5625.0,9262.5,61.5,1750.0,5100.0,3433.0796666666665
